© 2000-2020 QIAGEN. All rights reserved.

Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	Flags	p-value of overlap	Target Molecules in Dataset	Mechanistic Network
IFNG	 	cytokine	 	1.028	bias	5.67E-13	ACTB,CCND2,ENO1,GBP5,GZMB,HLA-E,HLA-F,HSP90AA1,HSP90AB1,HSPA5,HSPA8,HSPD1,KLF6,MCM4,PLEK,S100A8,S100A9,STAT1,TSC22D3	20 (4)
sirolimus	 	chemical drug	Inhibited	-3.033	bias	5.95E-12	ACTB,CCND2,ENO1,HSP90AA1,HSP90AB1,HSPA5,HSPD1,MKI67,PTMA,STAT1,STMN1,TOP2A,VIM	25 (7)
TP53	 	transcription regulator	Inhibited	-2.271	 	8.61E-12	ACTB,CCND2,HNRNPA2B1,HSP90AA1,HSP90AB1,HSPA5,HSPA8,HSPD1,HSPH1,KLF6,MCM4,MKI67,SPN,STAT1,STIP1,STMN1,TOP2A,TSC22D3,TUBB,VIM	21 (3)
CD3	 	complex	Activated	2.917	bias	3.61E-11	CALM1 (includes others),CCND2,GZMA,GZMB,HNRNPA2B1,HSP90AA1,HSPA5,HSPA8,PLEK,PTMA,STAT1,STMN1,TOP2A	16 (3)
beta-estradiol	 	chemical - endogenous mammalian	Activated	2.921	 	4.90E-11	ACTB,CALM1 (includes others),CCND2,ENO1,GZMA,HLA-E,HSP90AB1,HSPA5,HSPA8,HSPD1,HSPH1,KLF6,MCM4,MKI67,PTMA,SPN,STIP1,TOP2A,TSC22D3,VIM	25 (2)
MYC	 	transcription regulator	Activated	2.561	bias	7.02E-11	ACTB,CCND2,ENO1,HLA-E,HNRNPA2B1,HSP90AA1,HSPD1,HSPH1,KLF6,LGALS1,MKI67,PTMA,SPN,STAT1,STMN1,VIM	 
lipopolysaccharide	 	chemical drug	Activated	3.214	bias	1.38E-10	CALM1 (includes others),CCND2,ENO1,GBP5,GZMA,GZMB,HSPA5,HSPA8,KLF6,LGALS1,MKI67,PLEK,S100A8,S100A9,STAT1,STMN1,TOP2A,TSC22D3,VIM	23 (11)
APP	 	other	 	1.960	 	3.64E-10	ACTB,CCND2,ENO1,HLA-E,HSP90AA1,HSP90AB1,HSPA5,HSPA8,HSPD1,S100A8,STIP1,STMN1,TOP2A,TUBB	 
SGPP2	 	phosphatase	Inhibited	-2.219	bias	8.44E-10	DNAJA1,HSP90AA1,HSPA5,HSPA8,HSPH1	 
dexamethasone	 	chemical drug	Inhibited	-2.006	 	8.87E-10	ACTB,CCND2,ENO1,GBP5,GZMA,GZMB,HSPA5,HSPA8,HSPH1,KLF6,LGALS1,MCM4,PLEK,S100A8,S100A9,STAT1,TOP2A,TSC22D3,VIM	26 (10)
MAPT	 	other	 	 	 	8.92E-10	ACTB,ENO1,HSP90AA1,HSPA5,HSPA8,HSPD1,HSPH1,STIP1,STMN1,TUBB	 
RET	 	kinase	Activated	2.433	bias	1.09E-09	DNAJA1,HSP90AA1,HSPA8,HSPD1,HSPH1,S100A9,STIP1	8 (2)
PSEN1	 	peptidase	 	 	 	1.23E-09	ACTB,ENO1,HLA-E,HSP90AA1,HSPA5,HSPA8,HSPD1,STIP1,STMN1,TUBB	 
IND S7	 	chemical - kinase inhibitor	 	-1.342	 	1.26E-09	ACTB,ENO1,STIP1,TUBB,VIM	 
MEL S3	 	chemical - kinase inhibitor	 	-1.342	bias	1.52E-09	ACTB,ENO1,STIP1,TUBB,VIM	 
PDCD1	 	phosphatase	 	-0.928	bias	1.55E-09	FGFBP2,GZMA,GZMB,MKI67,STAT1,TOP2A	 
interferon beta-1a	 	biologic drug	 	 	 	1.76E-09	DNAJA1,ENO1,GBP5,GZMB,LGALS1,S100A9,STAT1	 
grape seed extract	 	chemical drug	 	 	 	2.56E-09	ENO1,HSPA8,HSPD1,MKI67,VIM	 
IL15	 	cytokine	 	0.714	bias	3.61E-09	CALM1 (includes others),CCND2,ENO1,GZMB,HNRNPA2B1,HSPA8,MKI67,PLEK,SPN,TOP2A	13 (3)
Z-LLL-CHO	 	chemical - protease inhibitor	Activated	2.909	bias	5.88E-09	ACTB,CCND2,HNRNPA2B1,HSP90AA1,HSPA5,HSPA8,HSPD1,STAT1,STMN1	21 (5)
tetradecanoylphorbol acetate	 	chemical drug	Activated	2.155	bias	7.40E-09	ACTB,CCND2,GZMB,H4C3,HSP90AB1,HSPA5,ITM2A,KLF6,S100A8,S100A9,SPN,STAT1,TSC22D3,VIM	16 (5)
desmopressin	 	biologic drug	 	 	 	1.38E-08	ACTB,AHNAK,ENO1,HSPA8,HSPH1,TUBB	 
2-amino-1-methyl-6-phenylimidazo-4-5-b-pyridine	 	chemical toxicant	Activated	2.236	bias	1.53E-08	HSP90AA1,HSPA5,HSPA8,HSPD1,HSPH1	 
CDKN1A	 	kinase	 	-1.558	bias	1.94E-08	ACTB,HNRNPA2B1,HSPA5,MCM4,MKI67,STMN1,TOP2A,VIM	21 (3)
poly rI:rC-RNA	 	biologic drug	 	0.777	bias	2.37E-08	CCND2,HLA-E,HLA-F,HSPA5,HSPD1,KLF6,MKI67,STAT1,TOP2A,VIM	12 (4)
MYCN	 	transcription regulator	 	-0.478	 	3.04E-08	ACTB,CCND2,HSP90AB1,HSPD1,LGALS1,PTMA,TUBB,VIM	 
tretinoin	 	chemical - endogenous mammalian	 	-0.475	 	4.10E-08	AHNAK,CALM1 (includes others),CCND2,GZMA,HSP90AA1,HSPD1,LGALS1,PLEK,PTMA,S100A8,S100A9,STAT1,TOP2A,TSC22D3,VIM	 
ESR1	 	ligand-dependent nuclear receptor	Activated	3.124	 	5.65E-08	AHNAK,ENO1,H4C3,HLA-E,HSP90AA1,HSPD1,HSPH1,LGALS1,MKI67,PTMA,S100A9,STAT1,TSC22D3,VIM	20 (2)
IND S1	 	chemical - kinase inhibitor	 	-1.000	 	5.94E-08	ACTB,ENO1,STIP1,TUBB	 
tanespimycin	 	chemical drug	 	0.243	bias	8.57E-08	CALM1 (includes others),HNRNPA2B1,HSP90AB1,HSPA5,HSPA8,PTMA	 
IL4	 	cytokine	 	-1.215	bias	9.08E-08	ACTB,AHNAK,CCND2,GBP5,GZMA,KLF6,LGALS1,MKI67,S100A8,S100A9,STAT1,VIM	14 (6)
HSF1	 	transcription regulator	Activated	2.051	 	9.78E-08	DNAJA1,HSP90AA1,HSP90AB1,HSPA8,HSPD1,HSPH1,STIP1	 
IL2	 	cytokine	Activated	2.920	bias	1.08E-07	CCND2,GZMA,GZMB,HSPA5,HSPD1,KLF6,MKI67,S100A8,STIP1,VIM	 
TGFB1	 	growth factor	 	-0.684	 	2.38E-07	AHNAK,CALM1 (includes others),CCND2,DNAJA1,ENO1,GZMA,GZMB,HSP90AA1,HSPA5,MALAT1,MKI67,STAT1,TOP2A,TSC22D3,VIM	15 (2)
IL10	 	cytokine	 	0.807	 	2.45E-07	CCND2,GZMA,GZMB,LGALS1,PLEK,S100A8,STAT1,TSC22D3	 
TNF	 	cytokine	 	-0.029	 	2.82E-07	ACTB,CCND2,HLA-E,HLA-F,HSP90AB1,HSPA5,HSPA8,HSPD1,KLF6,S100A8,S100A9,STAT1,STMN1,TSC22D3,VIM	22 (6)
BMS-690514	 	chemical drug	Inhibited	-2.000	bias	3.28E-07	HSP90AA1,HSPA8,HSPH1,MCM4	 
vorinostat	 	chemical drug	 	0.239	 	4.38E-07	CCND2,HSPA5,MKI67,S100A8,S100A9,TOP2A,VIM	10 (4)
FOS	 	transcription regulator	 	-0.570	 	4.52E-07	ENO1,HSPA5,KLF6,MALAT1,S100A8,S100A9,STMN1,TUBB,VIM	 
PD98059	 	chemical - kinase inhibitor	Inhibited	-2.359	bias	5.01E-07	CCND2,ENO1,HNRNPA2B1,HSPA5,MKI67,S100A8,TOP2A,TSC22D3,VIM	25 (10)
estrogen	 	chemical drug	Activated	2.449	bias	6.58E-07	HSPH1,ITM2A,LGALS1,MCM4,PTMA,STAT1,TOP2A	 
IL6	 	cytokine	Activated	2.401	bias	7.97E-07	AHNAK,GZMB,HSPA5,LGALS1,MKI67,PLEK,S100A9,STAT1,TOP2A,VIM	 
ouabain	 	chemical drug	Activated	2.000	bias	9.76E-07	ACTB,HSPA5,HSPA8,VIM	4 (3)
decitabine	 	chemical drug	 	1.094	bias	9.78E-07	CCND2,HLA-E,HNRNPA2B1,HSPA5,KLF6,LGALS1,MKI67,STAT1,TOP2A,VIM	18 (3)
cyclosporin A	 	biologic drug	 	-0.431	 	9.90E-07	GZMA,GZMB,HSP90AA1,HSPA5,HSPD1,S100A9,TUBB,VIM	 
puromycin aminonucleoside	 	chemical reagent	 	-0.447	bias	1.07E-06	ACTB,HSPA5,HSPD1,TUBB,VIM	 
ETV6-RUNX1	 	fusion gene/product	 	-1.546	bias	1.22E-06	GZMB,H4C3,KLF6,LGALS1,STAT1,STMN1,TSC22D3	 
ELAVL1	 	other	 	1.432	bias	1.51E-06	CALM1 (includes others),PTMA,STAT1,TOP2A,TSC22D3,VIM	 
TP63	 	transcription regulator	 	1.344	bias	1.51E-06	CCND2,HSPA8,KLF6,MKI67,S100A8,STMN1,TOP2A,VIM	 
APOE	 	transporter	 	 	 	1.56E-06	ACTB,CCND2,HSP90AB1,HSPA5,HSPD1,S100A8,S100A9	19 (3)
DDIT3	 	transcription regulator	 	1.992	 	1.91E-06	DNAJA1,HSPA5,HSPD1,TSC22D3,VIM	 
E2F1	 	transcription regulator	 	0.577	bias	2.24E-06	CALM1 (includes others),CCND2,HSPA8,HSPD1,MCM4,STMN1,TOP2A,VIM	 
trichostatin A	 	chemical drug	 	1.186	 	2.51E-06	ACTB,CCND2,HNRNPA2B1,HSPA5,LGALS1,MBNL1,SPN,STMN1,TOP2A,VIM	19 (5)
AGN194204	 	chemical drug	 	1.000	bias	2.65E-06	ITM2A,KLF6,LGALS1,MKI67,SPN,TOP2A	 
IL12B	 	cytokine	 	1.941	bias	3.53E-06	GZMB,S100A8,S100A9,STAT1	8 (3)
TCR	 	complex	 	1.732	bias	3.65E-06	ENO1,GZMA,GZMB,HSPA5,HSPD1,STAT1,TSC22D3	 
FBXW7	 	enzyme	Inhibited	-2.000	bias	4.04E-06	DNAJA1,HSPA8,HSPH1,STIP1	8 (3)
OPA1	 	enzyme	 	 	 	4.08E-06	HSPA5,S100A8,S100A9	9 (4)
FOXM1	 	transcription regulator	Activated	2.195	bias	4.46E-06	CCND2,MKI67,STMN1,TOP2A,VIM	21 (4)
OSM	 	cytokine	 	1.814	 	4.69E-06	CCND2,HLA-F,HSPA5,S100A8,S100A9,STAT1,TOP2A,VIM	10 (3)
mibolerone	 	chemical drug	Activated	2.236	 	4.78E-06	AHNAK,HLA-E,HSPA5,STMN1,TOP2A	 
DPP-23	 	chemical reagent	 	 	 	4.84E-06	DNAJA1,HSP90AA1,HSPA5	 
MUC1	 	other	 	 	 	5.21E-06	CCND2,MKI67,STAT1,VIM	9 (4)
ethanol	 	chemical - endogenous mammalian	 	0.272	 	5.49E-06	GZMB,HSP90AB1,HSPA5,KLF6,LGALS1,STAT1,TSC22D3	 
IL27	 	cytokine	 	1.223	bias	5.67E-06	CCND2,GZMB,HLA-E,STAT1,VIM	7 (3)
ERBB2	 	kinase	 	1.964	bias	5.84E-06	ACTB,AHNAK,CCND2,H4C3,LGALS1,MCM4,MKI67,TOP2A,VIM	25 (5)
PLAU	 	peptidase	 	1.214	bias	6.62E-06	HSPA5,S100A8,S100A9,VIM	 
CTLA4	 	transmembrane receptor	 	-1.000	bias	6.62E-06	FGFBP2,GZMB,MKI67,TOP2A	 
mir-21	 	microRNA	Inhibited	-2.414	bias	1.00E-05	GBP5,HNRNPA2B1,MKI67,STAT1,STMN1,TOP2A	 
YY1	 	transcription regulator	 	 	 	1.00E-05	H4C3,HSPA5,MCM4,MKI67,TOP2A,VIM	 
geldanamycin	 	chemical - endogenous non-mammalian	 	1.206	 	1.04E-05	HSP90AA1,HSP90AB1,HSPA5,HSPD1,SPN,STAT1	 
filgrastim	 	biologic drug	 	-0.570	 	1.09E-05	ENO1,GBP5,GZMA,GZMB,KLF6,STAT1,VIM	 
IL5	 	cytokine	Activated	2.449	bias	1.11E-05	CCND2,ENO1,HSPA5,HSPH1,SPN,VIM	 
5-azacytidine	 	chemical drug	 	1.109	bias	1.19E-05	HSPA5,HSPA8,HSPD1,KLF6,TUBB	 
ADAMTS12	 	peptidase	 	 	 	1.29E-05	LGALS1,S100A8,S100A9	 
fluticasone propionate	 	chemical drug	 	-0.447	 	1.29E-05	GBP5,HLA-F,S100A8,STAT1,TSC22D3	 
IL21	 	cytokine	Activated	2.135	bias	1.45E-05	CCND2,GBP5,GZMA,GZMB,MKI67	 
E2F3	 	transcription regulator	 	1.000	bias	1.48E-05	HSPD1,MALAT1,MCM4,PTMA,S100A8	 
gefitinib	 	chemical drug	 	 	 	1.48E-05	MKI67,S100A9,STAT1,TOP2A,VIM	 
HRAS	 	enzyme	 	 	 	1.73E-05	ACTB,CCND2,HNRNPA2B1,HSP90AA1,HSPA8,KLF6,TOP2A,VIM	21 (6)
OSU-CG12	 	chemical reagent	 	 	 	1.82E-05	HSPA5,KLF6	 
KRAS	 	enzyme	 	-0.391	 	1.87E-05	AHNAK,ENO1,HSPA5,ITM2A,KLF6,STAT1,TOP2A,VIM	 
ionomycin	 	chemical reagent	 	0.533	bias	1.88E-05	AHNAK,CCND2,GZMB,HSPA5,ITM2A	 
topotecan	 	chemical drug	 	0.447	bias	1.98E-05	ENO1,HLA-E,HSPA8,HSPD1,TOP2A	 
BDNF	 	growth factor	 	 	 	2.00E-05	CCND2,HSPA5,LGALS1,MALAT1,S100A9,VIM	8 (3)
Ubiquitin	 	group	 	 	 	2.21E-05	HSP90AA1,HSPA5,HSPD1	 
PPARG	 	ligand-dependent nuclear receptor	 	0.577	 	2.26E-05	KLF6,MBNL1,MKI67,S100A8,TSC22D3,TUBB,VIM	 
ROR1	 	kinase	 	 	 	2.44E-05	STMN1,TOP2A,VIM	 
CCND1	 	transcription regulator	 	-1.000	 	2.46E-05	AHNAK,CCND2,ENO1,HSPA8,MCM4,TUBB	 
lactacystin	 	chemical - protease inhibitor	Activated	2.219	bias	2.54E-05	ACTB,CCND2,HNRNPA2B1,HSPA5,STMN1	 
IRF3	 	transcription regulator	 	-0.200	bias	2.66E-05	AHNAK,GBP5,HLA-F,STAT1,VIM	 
CD 437	 	chemical drug	Inhibited	-2.236	bias	2.93E-05	DNAJA1,ENO1,HSP90AA1,HSPA8,LGALS1	 
Cathepsin	 	group	 	 	 	3.03E-05	CCND2,MKI67	 
APAF1	 	other	 	 	 	3.03E-05	HSPA5,VIM	 
CD44	 	other	 	 	 	3.14E-05	ACTB,CCND2,HSP90AB1,LGALS1,VIM	11 (3)
SKP2	 	other	 	 	 	3.21E-05	CCND2,PTMA,VIM	 
LY294002	 	chemical - kinase inhibitor	Inhibited	-2.552	bias	3.41E-05	CCND2,H4C3,HSP90AB1,HSPA5,SPN,TOP2A,VIM	13 (6)
U0126	 	chemical - kinase inhibitor	Inhibited	-2.390	bias	3.70E-05	CCND2,HSP90AB1,HSPA5,S100A9,STAT1,TSC22D3,VIM	15 (9)
RRP1B	 	transcription regulator	 	 	 	4.20E-05	HSP90AA1,HSP90AB1,MCM4,TOP2A	 
sorafenib	 	chemical drug	 	 	 	4.46E-05	CCND2,HSPA5,VIM	 
risedronic acid	 	chemical drug	 	 	 	4.54E-05	HSPA8,HSPD1	 
E2F4	 	transcription regulator	 	 	 	4.76E-05	CALM1 (includes others),MCM4,MKI67,STMN1,TOP2A	 
ERBB3	 	kinase	 	1.000	 	4.99E-05	ACTB,CCND2,STMN1,TOP2A	 
SUMO2	 	enzyme	 	 	 	5.58E-05	CCND2,HSPA8,TSC22D3	 
S100A4	 	other	 	 	 	5.58E-05	S100A8,S100A9,VIM	 
MAPK1	 	kinase	 	0.440	 	5.58E-05	GBP5,HLA-E,LGALS1,MKI67,STAT1,VIM	9 (3)
JQ1	 	chemical reagent	 	-0.762	bias	5.89E-05	HSPA5,MKI67,TOP2A,TUBB	 
Immunoglobulin	 	complex	 	-1.023	 	6.95E-05	CCND2,ENO1,GZMB,MKI67,PLEK,S100A8,S100A9	9 (2)
FSH	 	complex	 	1.945	 	7.08E-05	ACTB,CCND2,GZMB,LGALS1,STAT1,STIP1	 
dihydrotestosterone	 	chemical - endogenous mammalian	 	 	 	7.09E-05	ACTB,CCND2,ENO1,HSP90AA1,LGALS1,MCM4,VIM	12 (3)
bortezomib	 	chemical drug	 	0.562	 	7.24E-05	CCND2,DNAJA1,HSP90AA1,HSPA5,VIM	 
IL22	 	cytokine	 	0.094	bias	7.58E-05	HSP90AB1,HSPA5,S100A8,S100A9	 
MECP2	 	transcription regulator	 	 	 	7.58E-05	ACTB,HSPA5,SPN,VIM	 
Sb202190	 	chemical - kinase inhibitor	 	-1.000	bias	8.54E-05	CCND2,HSPA5,S100A8,VIM	9 (3)
SMAD3	 	transcription regulator	 	1.067	bias	8.57E-05	CCND2,GZMA,GZMB,HSPA5,VIM	 
FGF2	 	growth factor	Activated	2.413	bias	9.12E-05	CCND2,ENO1,MKI67,S100A8,TOP2A,VIM	8 (4)
CASR	 	G-protein coupled receptor	Activated	2.000	bias	9.86E-05	CCND2,LGALS1,S100A8,S100A9	 
NOTCH1	 	transcription regulator	 	 	 	1.03E-04	CCND2,DNAJA1,HSP90AB1,HSPA8,HSPH1	 
progesterone	 	chemical - endogenous mammalian	 	0.728	 	1.06E-04	ACTB,HSPA8,LGALS1,MCM4,MKI67,STAT1,VIM	10 (3)
PDGF (family)	 	group	 	 	 	1.09E-04	HSPD1,VIM	 
doxorubicin	 	chemical drug	 	-0.765	 	1.09E-04	HSPH1,STAT1,STMN1,TOP2A,TUBB,VIM	 
hydrocortisone	 	chemical - endogenous mammalian	 	-1.000	 	1.10E-04	CCND2,HSPD1,S100A8,TUBB	 
NFKBIA	 	transcription regulator	 	-0.849	 	1.16E-04	CCND2,GZMB,HSPA5,HSPA8,S100A8,S100A9	 
dextran sulfate	 	chemical drug	 	 	 	1.18E-04	MKI67,S100A8,S100A9,STMN1,TOP2A	 
CEBPA	 	transcription regulator	 	1.960	 	1.31E-04	CCND2,HSPA5,LGALS1,S100A8,S100A9,TSC22D3	7 (2)
PRL	 	cytokine	Activated	2.200	bias	1.35E-04	ACTB,ENO1,HSPD1,STAT1,VIM	5 (2)
carmustine	 	chemical drug	 	 	 	1.36E-04	HSP90AA1,HSP90AB1	 
GFI1	 	transcription regulator	 	-1.982	bias	1.36E-04	CCND2,GZMA,HSP90AB1,STAT1	 
Interferon alpha	 	group	Activated	2.071	bias	1.38E-04	CCND2,GBP5,GZMB,HLA-F,S100A9,STAT1	20 (6)
Pln	 	other	 	 	 	1.40E-04	ACTB,ENO1,VIM	 
emodin	 	chemical drug	 	 	 	1.55E-04	HSPA5,MKI67,VIM	 
cadmium chloride	 	chemical toxicant	 	 	 	1.63E-04	HSP90AA1,HSPA5,VIM	 
RUVBL2	 	transcription regulator	 	 	 	1.66E-04	CCND2,MCM4	 
Histone h3	 	group	 	 	 	1.70E-04	CCND2,HSPA5,MCM4,S100A8,S100A9,TOP2A	 
DICER1	 	enzyme	 	0.000	 	1.71E-04	CCND2,GZMB,SPN,STAT1,VIM	 
SIN3A	 	transcription regulator	 	 	 	1.79E-04	CCND2,KLF6,S100A9	 
JUN	 	transcription regulator	 	1.416	bias	1.82E-04	CALM1 (includes others),CCND2,HNRNPA2B1,STAT1,STMN1,VIM	 
cardiotoxin	 	chemical - other	 	 	 	1.84E-04	CCND2,HSP90AA1,HSPA5,S100A9	 
phytohemagglutinin	 	chemical drug	Activated	2.236	bias	1.88E-04	CCND2,GZMB,HSP90AA1,MCM4,STAT1	 
Hif1	 	complex	 	 	 	1.88E-04	ENO1,LGALS1,S100A8	 
ST1926	 	chemical drug	Inhibited	-2.000	bias	1.88E-04	ACTB,ENO1,HSP90AA1,LGALS1	 
IGF1	 	growth factor	 	1.673	bias	1.92E-04	CCND2,HSPA5,KLF6,MKI67,PLEK,VIM	10 (4)
PLN	 	transporter	 	 	 	1.97E-04	ACTB,ENO1,VIM	 
WWC1	 	transcription regulator	 	 	 	1.98E-04	MKI67,VIM	 
azetidyl-2-carboxylic acid	 	chemical reagent	 	 	 	1.98E-04	HSPA5,HSPA8	 
CSF2	 	cytokine	Activated	2.213	bias	2.03E-04	CCND2,HSPD1,HSPH1,MKI67,STMN1,TOP2A	 
PML	 	transcription regulator	 	 	 	2.07E-04	STAT1,STIP1,STMN1,VIM	 
nitrofurantoin	 	chemical drug	Activated	2.000	 	2.07E-04	ACTB,HSPA5,STMN1,TUBB	 
diethylstilbestrol	 	chemical drug	 	1.987	bias	2.09E-04	HSP90AB1,LGALS1,MKI67,S100A8,TOP2A	 
SP2509	 	chemical reagent	 	-0.447	 	2.09E-04	CCND2,HNRNPA2B1,HSPA5,LGALS1,MKI67	 
SATB1	 	transcription regulator	 	 	 	2.11E-04	HSP90AA1,HSPA8,TSC22D3,VIM	 
IRF7	 	transcription regulator	 	1.940	bias	2.31E-04	DNAJA1,GBP5,S100A8,STAT1	 
TRRAP	 	transcription regulator	 	 	 	2.34E-04	CCND2,MCM4	 
OPRM1	 	G-protein coupled receptor	 	 	 	2.34E-04	GZMB,VIM	 
CSF3	 	cytokine	 	0.000	 	2.58E-04	CCND2,FGFBP2,GZMB,HSPD1	 
CDK4/6	 	group	 	 	 	2.68E-04	AHNAK,ENO1,TUBB	 
ATM	 	kinase	 	 	 	2.68E-04	ACTB,HSP90AA1,HSP90AB1	 
HOXA9	 	transcription regulator	 	 	 	2.70E-04	MBNL1,S100A8,TSC22D3,VIM	 
imatinib	 	chemical drug	 	-1.965	 	2.71E-04	CCND2,HSP90AB1,HSPA5,HSPA8,STAT1	9 (3)
GON4L	 	transcription regulator	 	 	 	2.73E-04	CCND2,MKI67	 
linoleic acid	 	chemical - endogenous mammalian	 	 	 	2.79E-04	HSPA5,S100A8,S100A9	11 (5)
MRTFA	 	transcription regulator	 	0.371	 	2.93E-04	ACTB,S100A8,S100A9,STAT1	5 (3)
acetaminophen	 	chemical drug	Activated	2.000	 	3.06E-04	ACTB,HSPA5,HSPD1,TUBB	 
FOXO3	 	transcription regulator	 	 	 	3.11E-04	CCND2,MBNL1,MCM4,MKI67,VIM	 
cerivastatin	 	chemical drug	 	 	 	3.41E-04	PTMA,S100A8,S100A9	 
epothilone B	 	chemical drug	 	 	 	3.59E-04	MKI67,TOP2A	 
ZNF148	 	transcription regulator	 	 	 	3.59E-04	STAT1,VIM	 
miR-223-3p (miRNAs w/seed GUCAGUU)	 	mature microRNA	 	 	 	3.59E-04	STMN1,VIM	 
MEL T1	 	chemical - kinase inhibitor	 	 	 	3.59E-04	ENO1,HSPD1	 
GFAP	 	other	 	 	 	3.59E-04	HSPA5,VIM	 
bexarotene	 	chemical drug	 	0.000	bias	3.67E-04	ITM2A,MALAT1,S100A9,TSC22D3	 
nicotine	 	chemical drug	 	 	 	3.67E-04	CCND2,ENO1,HSPA8,STAT1	4 (2)
MAP2K1/2	 	group	 	 	 	3.67E-04	CCND2,HSPA5,VIM	5 (2)
fenretinide	 	chemical drug	 	 	 	3.67E-04	GZMB,MKI67,STAT1	 
CD28	 	transmembrane receptor	Activated	2.219	bias	3.89E-04	CCND2,GZMA,GZMB,HSPA8,PTMA	 
HELLS	 	enzyme	 	 	 	4.07E-04	HSPD1,MCM4	 
KLK5	 	peptidase	 	 	 	4.07E-04	S100A8,S100A9	 
curcumin	 	chemical drug	 	-1.455	bias	4.15E-04	CCND2,HSPA8,TOP2A,TSC22D3,VIM	8 (4)
EDN1	 	cytokine	 	 	 	4.19E-04	ACTB,HSPA5,HSPA8,VIM	4 (2)
AHR	 	ligand-dependent nuclear receptor	 	-1.387	 	4.36E-04	ENO1,HSP90AA1,HSPA5,HSPH1,VIM	6 (2)
CNTF	 	cytokine	 	 	 	4.40E-04	ACTB,STAT1,VIM	5 (3)
PADI2	 	enzyme	 	 	 	4.57E-04	MKI67,VIM	 
PARP9	 	enzyme	 	 	 	4.57E-04	HLA-E,STAT1	7 (3)
SP1	 	transcription regulator	 	 	 	4.64E-04	CCND2,HSPA5,KLF6,SPN,STAT1,VIM	 
NPC1	 	transporter	 	 	 	4.71E-04	S100A8,S100A9,STAT1	 
PIK3R1	 	kinase	 	 	 	4.71E-04	CCND2,HSPA5,MKI67	 
calcitriol	 	chemical drug	 	0.254	 	4.73E-04	HSPD1,LGALS1,MCM4,S100A8,S100A9,STMN1	7 (2)
IL17R	 	complex	 	 	 	5.10E-04	S100A8,S100A9	 
TEK	 	kinase	 	 	 	5.10E-04	S100A8,S100A9	 
MNT	 	transcription regulator	 	 	 	5.10E-04	CCND2,KLF6	 
MAX	 	transcription regulator	 	 	 	5.21E-04	CCND2,KLF6,PTMA	 
FADD	 	other	 	 	 	5.21E-04	CCND2,KLF6,STAT1	 
ZFP36	 	transcription regulator	 	 	 	5.38E-04	S100A8,S100A9,TOP2A	 
ANGPT2	 	growth factor	 	1.982	bias	5.41E-04	HSP90AA1,HSPA5,HSPD1,VIM	10 (3)
simvastatin	 	chemical drug	 	-0.849	 	5.41E-04	CCND2,MKI67,STAT1,VIM	19 (10)
6-hydroxydopamine	 	chemical toxicant	 	 	 	5.56E-04	HSP90AB1,HSPA5,HSPA8	 
PTP4A3	 	phosphatase	 	 	 	5.66E-04	HSP90AA1,STMN1	 
IgG	 	complex	 	0.000	 	5.70E-04	CCND2,HLA-E,HSPA5,LGALS1	 
CSF1	 	cytokine	 	1.957	bias	5.80E-04	CCND2,ENO1,HSPA5,STAT1	8 (3)
STAT3	 	transcription regulator	 	0.659	bias	6.08E-04	CCND2,GBP5,GZMB,S100A9,STAT1,VIM	8 (3)
peoniflorin	 	chemical drug	 	 	 	6.25E-04	ENO1,TUBB	 
SPZ1	 	transcription regulator	 	 	 	6.25E-04	MKI67,VIM	 
YWHAZ	 	enzyme	 	 	 	6.25E-04	HSPA5,TSC22D3	 
NLRC5	 	transcription regulator	 	 	 	6.25E-04	HLA-E,HLA-F	 
SCGB1A1	 	cytokine	 	 	 	6.25E-04	S100A8,S100A9	 
PD 169316	 	chemical - kinase inhibitor	 	 	 	6.25E-04	CCND2,VIM	 
CD40LG	 	cytokine	 	 	 	6.60E-04	GZMB,HSP90AA1,PLEK,STAT1,TUBB	 
olanzapine	 	chemical drug	 	 	 	6.70E-04	HSPA8,S100A8,S100A9	 
PC-SPES	 	chemical drug	 	 	 	6.70E-04	HSP90AA1,HSPA5,VIM	 
IPMK	 	kinase	 	 	 	6.87E-04	ACTB,HSP90AB1	 
EIF4G2	 	translation regulator	 	 	 	6.87E-04	ACTB,CCND2	 
IL2RA	 	transmembrane receptor	 	 	 	6.87E-04	CCND2,GZMA	 
zidovudine	 	chemical drug	 	 	 	7.51E-04	CCND2,STAT1	 
EGFR	 	kinase	 	1.524	bias	7.79E-04	ACTB,GZMB,HNRNPA2B1,HSPA5,VIM	 
SMARCA4	 	transcription regulator	 	 	 	7.91E-04	AHNAK,HLA-E,HLA-F,LGALS1,TUBB,VIM	 
VDR	 	transcription regulator	Activated	2.000	 	8.05E-04	CCND2,LGALS1,S100A8,S100A9	 
glutamine	 	chemical - endogenous mammalian	 	 	 	8.44E-04	ACTB,HSPA5,VIM	 
estrogen receptor	 	group	 	-1.067	 	8.44E-04	CCND2,HSP90AA1,TSC22D3,VIM	 
caffeic acid phenethyl ester	 	chemical drug	 	 	 	8.67E-04	KLF6,MKI67,VIM	 
STAT6	 	transcription regulator	 	-0.391	 	8.76E-04	ACTB,AHNAK,CCND2,GBP5,VIM	13 (4)
Saa3	 	other	 	 	 	8.89E-04	S100A8,S100A9	 
